date_time,matchday,home_team,home_score,guest_score,guest_team,season
2004-08-06T21:35:00,1,Werder Bremen,1,0,FC Schalke 04,2004
2004-08-07T15:30:00,1,BV Borussia Dortmund 09,1,2,VfL Wolfsburg,2004
2004-08-07T15:30:00,1,1. FC Kaiserslautern,1,3,1. FC Nürnberg,2004
2004-08-07T15:30:00,1,Bayer Leverkusen,2,1,Hannover 96,2004
2004-08-07T15:30:00,1,SC Freiburg,0,0,FC Hansa Rostock,2004
2004-08-07T15:30:00,1,Hertha BSC,2,2,VfL Bochum,2004
2004-08-07T15:30:00,1,Hamburger SV,0,2,FC Bayern München,2004
2004-08-08T17:30:00,1,Arminia Bielefeld,0,0,Borussia Mönchengladbach,2004
2004-08-08T17:30:00,1,VfB Stuttgart,4,2,1. FSV Mainz 05,2004
2004-08-14T15:30:00,2,FC Bayern München,1,1,Hertha BSC,2004
2004-08-14T15:30:00,2,1. FSV Mainz 05,2,1,Hamburger SV,2004
2004-08-14T15:30:00,2,Borussia Mönchengladbach,2,3,BV Borussia Dortmund 09,2004
2004-08-14T15:30:00,2,1. FC Nürnberg,1,1,VfB Stuttgart,2004
2004-08-14T15:30:00,2,FC Hansa Rostock,0,4,Werder Bremen,2004
2004-08-14T15:30:00,2,FC Schalke 04,2,1,1. FC Kaiserslautern,2004
2004-08-15T17:30:00,2,VfL Bochum,2,2,Bayer Leverkusen,2004
2004-08-15T17:30:00,2,VfL Wolfsburg,0,1,SC Freiburg,2004
2004-08-28T15:30:00,3,SC Freiburg,1,1,Borussia Mönchengladbach,2004
2004-08-28T15:30:00,3,1. FC Kaiserslautern,2,3,VfB Stuttgart,2004
2004-08-28T15:30:00,3,Arminia Bielefeld,1,2,VfL Bochum,2004
2004-08-28T15:30:00,3,Bayer Leverkusen,4,1,FC Bayern München,2004
2004-08-28T15:30:00,3,Hertha BSC,1,1,1. FSV Mainz 05,2004
2004-08-28T15:30:00,3,Hamburger SV,4,3,1. FC Nürnberg,2004
2004-08-28T15:30:00,3,FC Schalke 04,0,2,FC Hansa Rostock,2004
2004-08-29T17:30:00,3,BV Borussia Dortmund 09,1,1,Hannover 96,2004
